state,fips,cases,deaths,cum_cases,cum_death
Alabama,20,7235,69,7235,69
Alaska,42,993,9,8228,78
Arizona,268,8277,147,16505,225
Arkansas,110,4593,46,21098,271
California,408,65463,1316,86561,1587
Colorado,224,21949,424,108510,2011
Connecticut,225,18163,368,126673,2379
Delaware,220,2255,42,128928,2421
District of Columbia,286,3904,55,132832,2476
Florida,384,43352,586,176184,3062
Georgia,403,26874,851,203058,3913
Guam,1188,741,14,203799,3927
Hawaii,405,1732,2,205531,3929
Idaho,320,3026,43,208557,3972
Illinois,1173,40217,595,248774,4567
Indiana,486,12638,310,261412,4877
Iowa,475,3340,35,264752,4912
Kansas,520,2884,71,267636,4983
Kentucky,567,4080,104,271716,5087
Louisiana,528,35339,1409,307055,6496
Maine,483,2454,20,309509,6516
Maryland,672,10800,117,320309,6633
Massachusetts,1525,42185,463,362494,7096
Michigan,598,48524,1302,411018,8398
Minnesota,729,5164,64,416182,8462
Mississippi,616,6866,110,423048,8572
Missouri,754,8114,113,431162,8685
Montana,600,1417,17,432579,8702
Nebraska,1395,2074,18,434653,8720
Nevada,896,8138,155,442791,8875
New Hampshire,1023,2647,21,445438,8896
New Jersey,986,114789,1519,560227,10415
New Mexico,770,2348,21,562575,10436
New York,1152,547435,8482,1110010,18918
North Carolina,1110,10204,43,1120214,18961
North Dakota,836,935,12,1121149,18973
Northern Mariana Islands,345,14,1,1121163,18974
Ohio,936,14660,284,1135823,19258
Oklahoma,1080,3788,131,1139611,19389
Oregon,1394,5355,148,1144966,19537
Pennsylvania,1134,29665,340,1174631,19877
Puerto Rico,1440,1281,46,1175912,19923
Rhode Island,1408,3136,27,1179048,19950
South Carolina,1215,7616,151,1186664,20101
South Dakota,1058,842,24,1187506,20125
Tennessee,1316,14537,82,1202043,20207
Texas,2400,24654,329,1226697,20536
Utah,1813,6578,27,1233275,20563
Vermont,1300,2171,109,1235446,20672
Virgin Islands,1482,260,0,1235706,20672
Virginia,1326,8493,196,1244199,20868
Washington,3816,51870,2620,1296069,23488
West Virginia,864,1057,5,1297126,23493
Wisconsin,3135,10926,168,1308052,23661
Wyoming,1232,908,0,1308960,23661
